SMILES                           Hf (kcal/mol)
------------------------------------------------------------
C                                     -21.3113
N                                     -11.1165
O                                     -51.3979
C#C                                    57.7714
C#N                                    32.2754
C=O                                   -27.2388
CC                                    -24.6606
CO                                    -48.0610
CC#C                                   44.7472
CC#N                                   16.0063
CC=O                                  -42.1198
NC=O                                  -48.3713
CCC                                   -29.6765
CCO                                   -56.4241
COC                                   -48.6637
C1CC1                                  10.8690
C1CO1                                 -14.3098
CC(C)=O                               -54.6526
CC(N)=O                               -59.5726
NC(N)=O                               -59.4744
CC(C)C                                -35.5798
CC(C)O                                -65.2528
C#CC#C                                111.0124
C#CC#N                                 88.9803
N#CC#N                                 71.5051
O=CC#C                                 32.4643
O=CC#N                                 10.9405
O=CC=O                                -51.9108
CC#CC                                  33.2246
CCC#C                                  40.0576
CCC#N                                  11.2144
NCC#N                                  28.2830
OCC#C                                  17.5457
OCC#N                                  -9.4237
CCC=O                                 -46.5873
CNC=O                                 -50.7599
COC=O                                 -84.8835
OCC=O                                 -71.5590
CCCC                                  -34.6812
CCCO                                  -61.3290
CCOC                                  -56.9929
OCCO                                  -89.1709
CC1CC1                                  3.7176
CC1CO1                                -24.6690
CN1CC1                                 23.7719
OC1CC1                                -21.6375
C1CCC1                                  4.1996
C1COC1                                -21.3946
CC(C)=NO                              -19.1205
N1C=CC=C1                              24.4116
N1C=CN=C1                              26.8836
O1C=CC=C1                              -8.8154
O1C=CN=C1                              -6.9250
CC(C)(C)C                             -41.4604
CC(C)(C)O                             -73.2613
CC(=O)C#C                              18.6652
CC(=O)C#N                              -4.6729
NC(=N)C#N                              45.5266
NC(=O)C#C                              14.0068
CC(=O)C=O                             -66.8583
NC(=N)C=O                             -21.2804
NC(=O)C=O                             -68.3596
CC(C)C#C                               34.4807
CC(C)C#N                                5.5126
CC(N)C#N                               18.5520
CC(O)C#C                                6.8784
CC(O)C#N                              -20.5177
CC(C)C=O                              -52.3568
CC(O)C=O                              -80.6380
CN(C)C=O                              -53.9385
CC(=O)CO                              -89.1590
CCC(C)=O                              -60.1982
CCC(N)=O                              -65.0322
CNC(C)=O                              -61.8388
CNC(N)=O                              -60.7981
COC(C)=N                              -45.1841
COC(C)=O                             -101.6878
COC(N)=O                             -102.3778
NC(=O)CO                              -86.5564
[NH3+]CC([O-])=O                      -94.7291
CC(C)CO                               -67.4656
CC(O)CO                               -99.2126
CCC(C)C                               -39.6306
CCC(C)O                               -70.3528
COC(C)C                               -64.0093
CC1(C)CC1                              -3.8372
CC1(C)CO1                             -34.4126
CC1(O)CC1                             -33.0026
N=C1CCO1                              -12.6971
O=C1CCC1                              -23.5627
O=C1CCN1                              -27.8815
O=C1CCO1                              -69.5384
O=C1CNC1                               -5.6966
O=C1COC1                              -45.7225
CC1CCC1                                -3.2423
CC1CCO1                               -31.8373
CC1COC1                               -28.4933
OC1CCC1                               -33.2303
OC1COC1                               -56.6226
CC1CC1C                                -1.9189
CC1CC1O                               -30.2371
CC1CN1C                                17.7005
CC1OC1C                               -33.5272
OC1CC1O                               -58.2654
C1C2CC1C2                              50.5901
C1C2CC1O2                              30.0003
C#CCC#C                               113.6389
C#CCC#N                                86.3903
N#CCC#N                                61.6278
O=CCC#C                                24.4646
O=CCC#N                                -2.1245
N=CNC=O                               -22.5010
N=COC=O                               -61.0190
O=CNC=O                               -75.5747
CC#CC#C                                97.2402
CC#CC#N                                73.3877
CC#CC=O                                18.1977
CC#CCO                                  5.3630
CCC#CC                                 28.5607
COC=NC                                -31.6713
CCCC#C                                 34.8352
CCCC#N                                  5.8967
CNCC#N                                 26.9079
COCC#C                                 17.0466
COCC#N                                 -9.8971
OCCC#C                                  8.2094
OCCC#N                                -20.2090
CCCC=O                                -51.5448
CCNC=O                                -57.5052
CCOC=O                                -93.4932
COCC=O                                -71.5561
OCCC=O                                -77.5614
CCCCC                                 -39.6274
CCCCO                                 -66.1742
CCCOC                                 -61.8343
CCOCC                                 -65.2599
COCCO                                 -90.4193
OCCCO                                 -92.1430
C#CC1CC1                               72.3862
C#CC1CN1                               87.9513
C#CC1CO1                               48.1148
N#CC1CC1                               43.9365
N#CC1CN1                               61.0917
N#CC1CO1                               22.4337
O=CC1CC1                              -16.8471
O=CC1CN1                               -1.9164
O=CC1CO1                              -40.3937
O=CN1CC1                               -7.0037
CCC1CC1                                -1.3240
CCC1CO1                               -29.7188
CCN1CC1                                16.8904
COC1CC1                               -22.9674
OCC1CC1                               -27.6825
OCC1CN1                               -12.8360
OCC1CO1                               -56.7839
C1CC=CC1                                8.7747
C1CN=CO1                              -21.5230
